case_id,series,status,date,machine,parent,mesh,cells,np,delta,purpose,sim_time_s,wall_h,verdict
X01,X,done,20260624,koshiba-ws,,tet_coarse,111370,24,"四面体で試作 (6月の先行ケース tank)","メッシュ方式の当たりを付ける",1800,12.5,"完走 (208万ステップ, 平均dt0.87ms, Courant律速). Foundation版incompressibleVoFで開始→ESI版interFoamに移行した痕跡 (混入辞書の出どころ). p_rgh最終補正: 平均37.7反復/max192. koshiba@ws:~/OpenFOAM/yuna-v2512/run/tank に現存. polyMesh_tet_backupと同一メッシュ"
X02,X,abandoned,20260717,koshiba-ws,X01,prism_5mm,2085578,16,"一様5mm三角柱 (tank.geoコメントの版)","鉛直5mmでの実行可否",0.72,,"遅すぎて中断. volFieldValue.dat がこの残骸"
A00,A,done,20260719,koshiba-ws,X02,prism_9mm,1112520,16,"層数を6+10に削減 (dz9.17mm)","パイロット完走. 全比較の基準",999.9,27.75,"完走. 実はlaminar(無モデル)で走った. 平均dt7.4ms, 0.74s/step. t=500-850はmaxDeltaT律速. 注意: WS上の生データとlogは7/20の作り直しで消失, Mac側のpostProcessingコピーと解析記録のみ現存"
X03,X,abandoned,20260721,koshiba-ws,A00,,,16,"Inflow_260720: 作り直しの初回試行","新設定の試運転",0.64,,"t=0.64で停止. 970MBの残骸が run/Inflow_260720 に現存. メッシュ・設定の詳細未確認"
X04,X,failed,20260721,koshiba-ws,X03,prism_5mm_h013,1809830,16,"新メッシュ+RAS RNGkEpsilon 初回起動","作り直し後の本番1回目",2.35,0.5,"t=2.35で停止 (log.interFoam). 直後にrestartで継続 → X05"
X05,X,done,20260721,koshiba-ws,X04,prism_5mm_h013,1809830,16,"一様5mmプリズム(天井0.13m) + RAS RNGkEpsilon, endTime300, 初期水位20mm(4層)","学生主導のRAS試行 (水位20→41mm). 混乱のため本人依頼で停止",279.4,19.3,"t=279.4で正常停止 (stopAt writeNow, 全場書き出し済, startFrom latestTimeで再開可). 1.68s/step, 平均dt6.7ms, p_rgh反復計18.6/step. 質量収支NG: dV/dtがQの90-93%で全時間帯一定. 流入phi実測はちょうど-5.000e-4 → 損失は内部の数値クリッピング濃厚 (Max alpha 1.0032, bounding eps 82%). A00は99.8%保存だったので新メッシュかRASによる退行. A07で切り分け"
A07,A,done,20260722,koshiba-ws,X05,prism_5mm_h013,1809830,16,"X05のt=279.4から5s区間, laminarに変更 (他はX05と同一)","質量損失・boundingの犯人切り分け + RASの追加コスト実測. 参照値=X05自身のlog",5,0.21,"laminarでもdV/dt=4.66e-4 (93.1%) → RASは質量損失の犯人ではない. RASコスト実測: 1.372 s/step vs 同区間RAS+PCG 1.90 → RAS+boundingで+38%. 真犯人はalpha流入BC変更 (fixedValue1→variableHeightFlowRate, 7/21学生変更) と特定: U∝alpha配分により水流束=Q x Σα²/Σα < Q. A08で検証中"
A08,A,done,20260722,koshiba-ws,A07,prism_5mm_h013,1809830,16,"A07と同一, alpha流入BCのみ fixedValue 1 に復帰","質量損失の真犯人確定. 仮説: dV/dtが100%に回復する",5,0.34,"確定: dV/dt=5.0001e-4 (100.0%). 真犯人=alpha流入BC(variableHeightFlowRate)で決着. 代償: 落下流が復活し dt 8.94→5.64ms → 浅水期(h<55mm)の壁時計 +62%. s/step=1.397 (A07同等). 当面の正解=fixedValue 1 (質量厳密は譲れない). 恒久策=常時水没型の流入形状をB01メッシュで検討"
A09,A,done,20260722,koshiba-ws,A08,prism_5mm_h013,1809830,16,"A08と同一, nCorrectors のみ 3→2","圧力ループの組み立て回数削減の利得実測 (GAMG測定で圧力ソルブ自体は既に軽いと判明したため)",5,0.27,"s/step 1.397→1.102 = 1.27x (予想10-15%を上回る). 圧力ループは解く時間より組み立て・流束補正が支配的と裏付け. dt軌道(5.64ms)・質量(100.0%)・alpha範囲はA08と実質同一で健全. p_rgh反復 c1=4.9, c2(Final)=7.1. 本採用前に表面速度場の比較確認を1回だけ推奨"
A10,A,done,20260722,koshiba-ws,A09,prism_5mm_h013,1809830,16,"統合テスト: laminar + alpha fixedValue1 + GAMG + nCorrectors2","個別検証済み4変更の相互作用確認 = 確定設定v1候補. 予想 ~1.0 s/step, 質量100%",5,0.28,"s/step=1.134 — A09 (PCG) の1.102より3%遅い. nCorr2+laminarではPCG反復が計~12まで減りGAMGの1サイクル固定費が上回る → GAMG不採用. 質量100.0%, 健全性は完璧. 結論: 確定設定v1 = A09構成 (laminar + fixedValue1 + nCorrectors2 + PCG). GAMGは反復数がスパイクする局面の保険として記録に残す"
A01,A,done,20260722,koshiba-ws,X05,prism_5mm_h013,1809830,16,"p_rgh/p_rghFinal を PCG→GAMG (X05のt=279.4から5s区間, 他はX05と同一)","圧力ソルバー高速化の実測. 参照値=X05自身のlog",5,0.25,"p_rgh反復が3.2/14.3/1.1→1.0/1.0/0.0に激減し極めて安定. s/step=1.638 vs 同区間PCG 1.90 → 実利得1.16x (予測1.2-1.5xの下端). 圧力ソルブはもはや支配コストではない. 採用推奨(損なし). 次のレバーは組み立て回数(nCorrectors)とセル数"
A02,A,planned,,koshiba-ws,A01,prism_9mm,1112520,16,"renumberMesh -overwrite","行列帯幅削減の上乗せ効果",,,
A03,A,abandoned,,koshiba-ws,A02,prism_9mm,1112520,16,"writeFormat binary + 表面サンプリングFO","I/O削減と本番用出力の試運転",,,"個別テストは省略: binaryはB03で, surfSampleは事後postProcessで採用済み. 計画行として不要"
